filename,scatterness
index.js,2.30259
index.js,3.16044
form.js,2.94444
index.js,1.09861
index.js,2.04319
mirror_repos.js,0.0
project_avatar.js,0.0
save_project_loader.js,2.48491
constants.js,0.0
external.js,0.0
index.js,0.0
project_feature_setting.vue,0.0
project_setting_row.vue,0.0
settings_panel.vue,0.0
index.js,3.56364
index.js,1.66746
index.js,1.66746
index.js,2.24504
index.js,2.02533
index.js,3.37006
index.js,3.51559
wikis.js,0.0
delete_wiki_modal.vue,3.94093
init_filtered_search.js,2.71358
index.js,1.09861
search.js,0.0
index.js,1.09861
index.js,2.24504
oauth_remember_me.js,0.0
signin_tabs_memoizer.js,0.0
username_validator.js,0.0
mount_badge_settings.js,3.17805
form.js,0.0
index.js,1.74787
index.js,1.74787
index.js,2.35167
activity_calendar.js,0.0
index.js,0.0
user_tabs.js,0.0
index.vue,4.08496
index.vue,3.98842
index.js,3.83397
detailed_metric.vue,4.21689
performance_bar_app.vue,4.80402
request_selector.vue,3.82864
simple_metric.vue,3.4012
performance_bar_service.js,3.34573
performance_bar_store.js,3.66356
constants.js,0.0
event_hub.js,0.0
pipeline_details_bundle.js,4.14199
pipeline_details_mediator.js,0.0
blank_state.vue,3.42241
empty_state.vue,0.0
header_component.vue,4.35329
nav_controls.vue,3.75963
pipelines.vue,5.60592
pipelines_actions.vue,4.11895
pipelines_artifacts.vue,3.68092
pipelines_table.vue,0.0
pipelines_table_row.vue,0.0
pipeline_url.vue,4.21652
stage.vue,5.02136
time_ago.vue,4.3003
action_component.vue,4.1819
dropdown_job_component.vue,4.38765
graph_component.vue,3.99257
job_component.vue,4.53173
job_name_component.vue,3.28646
stage_column_component.vue,3.99701
pipelines.js,4.50436
pipelines_service.js,0.0
pipeline_service.js,2.30349
pipelines_store.js,0.0
pipeline_store.js,2.3979
add_ssh_key_validation.js,3.7612
gl_crop.js,0.0
profile.js,0.0
index.js,3.23668
delete_account_modal.vue,4.64382
update_username.vue,4.76177
project_import_gitlab_project.js,2.04319
project_new.js,4.61156
constants.js,2.14584
index.js,4.11863
gke_dropdown_mixin.js,0.0
gke_machine_type_dropdown.vue,4.47927
gke_project_id_dropdown.vue,4.76146
gke_zone_dropdown.vue,4.30346
actions.js,0.0
getters.js,0.0
index.js,0.0
mutations.js,0.0
mutation_types.js,0.0
state.js,2.31142
commit_pipeline_status_component.vue,0.0
commit_pipeline_service.js,0.0
constants.js,1.60944
prometheus_metrics.js,4.47426
protected_branch_access_dropdown.js,0.0
protected_branch_create.js,3.80836
protected_branch_edit.js,0.0
protected_branch_edit_list.js,0.0
protected_tag_access_dropdown.js,3.15146
protected_tag_create.js,3.77865
protected_tag_edit.js,3.53963
protected_tag_edit_list.js,2.50666
index.js,2.33656
raven_config.js,3.99502
constants.js,2.43079
index.js,3.10797
app.vue,3.53963
collapsible_container.vue,4.38007
table_registry.vue,4.69097
actions.js,3.53963
getters.js,1.60944
index.js,3.55692
mutations.js,3.53123
mutation_types.js,1.60944
constants.js,2.73634
grouped_test_reports_app.vue,4.66993
issues_list.vue,0.0
issue_body.js,0.0
issue_status_icon.vue,0.0
modal.vue,4.29046
modal_open_name.vue,0.0
report_issues.vue,0.0
report_link.vue,0.0
report_section.vue,0.0
summary_row.vue,0.0
test_issue_body.vue,3.65422
actions.js,4.20953
getters.js,2.07944
index.js,2.52321
mutations.js,3.59822
mutation_types.js,1.94591
state.js,3.97882
utils.js,3.98874
popover.js,3.09814
form.js,2.72555
u2f.js,2.75167
event_hub.js,2.07944
mount_milestone_sidebar.js,3.29584
mount_sidebar.js,4.73315
sidebar_bundle.js,1.27703
sidebar_mediator.js,3.93161
assignees.vue,5.34111
assignee_title.vue,4.15888
sidebar_assignees.vue,0.0
confidential_issue_sidebar.vue,4.37069
edit_form.vue,3.59423
edit_form_buttons.vue,3.65525
