filename,scatterness
compilable_resource_type.rb,2.70805
configurer.rb,5.68781
confine.rb,0.0
confiner.rb,0.0
confine_collection.rb,0.0
context.rb,4.28142
daemon.rb,0.0
datatypes.rb,5.17906
data_binding.rb,2.44102
defaults.rb,0.0
environments.rb,5.55308
error.rb,4.39777
etc.rb,4.72882
face.rb,0.0
file_bucket.rb,1.38629
file_serving.rb,0.0
file_system.rb,5.70929
forge.rb,5.08919
functions.rb,6.19109
graph.rb,1.52296
indirector.rb,3.7168
info_service.rb,2.67012
interface.rb,4.95873
loaders.rb,2.96694
module.rb,0.0
module_tool.rb,4.87563
network.rb,1.09861
node.rb,5.14085
parameter.rb,5.88526
parser.rb,2.71847
plugins.rb,1.73287
pops.rb,4.14727
property.rb,0.0
provider.rb,5.9097
relationship.rb,4.09758
reports.rb,4.03309
resource.rb,5.89436
scheduler.rb,2.68595
settings.rb,0.0
ssl.rb,2.25386
status.rb,3.42012
syntax_checkers.rb,1.09861
transaction.rb,0.0
type.rb,0.0
util.rb,5.88799
vendor.rb,3.99441
version.rb,4.38354
disabler.rb,3.43729
locker.rb,3.52217
agent.rb,0.0
apply.rb,0.0
catalog.rb,1.38629
cert.rb,0.0
config.rb,1.33218
describe.rb,0.0
device.rb,5.50406
doc.rb,0.0
epp.rb,1.60944
face_base.rb,0.0
facts.rb,2.04319
filebucket.rb,5.02914
generate.rb,1.60944
help.rb,0.69315
indirection_base.rb,0.63651
key.rb,1.38629
lookup.rb,5.4507
man.rb,1.38629
module.rb,1.09861
node.rb,1.38629
parser.rb,1.60944
plugin.rb,1.09861
report.rb,1.38629
resource.rb,0.0
script.rb,5.3726
ssl.rb,4.66753
status.rb,1.38629
downloader.rb,0.0
fact_handler.rb,0.0
plugin_handler.rb,0.0
any.rb,3.2581
exists.rb,0.0
false.rb,0.0
feature.rb,0.0
true.rb,0.0
variable.rb,0.0
trusted_information.rb,0.0
error.rb,2.84648
error.rb,3.28149
dot.rb,0.0
common.rb,5.80054
pure.rb,1.60944
version.rb,2.07944
generator.rb,5.86484
parser.rb,5.47056
catalog.rb,0.0
config.rb,0.0
epp.rb,5.95361
facts.rb,0.0
generate.rb,4.07224
help.rb,0.0
key.rb,2.5993
man.rb,4.43989
module.rb,2.87148
node.rb,3.29548
parser.rb,4.76672
plugin.rb,3.47746
report.rb,0.0
resource.rb,3.69791
status.rb,3.58512
select.rb,0.0
action.erb,3.85176
face.erb,4.27249
global.erb,0.0
man.erb,4.74906
build.rb,0.0
changes.rb,0.0
generate.rb,0.0
install.rb,0.0
list.rb,5.202
search.rb,0.0
uninstall.rb,4.11862
upgrade.rb,4.2747
clean.rb,4.21096
base.rb,3.44018
bolt.rb,1.09861
cfpropertylist.rb,1.09861
eventlog.rb,1.38629
hiera_eyaml.rb,1.09861
hocon.rb,1.09861
libuser.rb,1.90615
msgpack.rb,0.63651
pe_license.rb,1.38629
selinux.rb,1.09861
ssh.rb,0.69315
telnet.rb,2.19722
zlib.rb,1.38629
dipper.rb,0.0
file.rb,4.30072
base.rb,4.22447
configuration.rb,4.22904
content.rb,3.34365
fileset.rb,4.74541
http_metadata.rb,3.67796
metadata.rb,4.46408
mount.rb,3.27169
terminus_helper.rb,2.8636
terminus_selector.rb,0.0
parser.rb,4.50243
file.rb,4.55922
locales.rb,3.55535
modules.rb,3.07522
pluginfacts.rb,3.55535
plugins.rb,3.26314
tasks.rb,3.04452
file_impl.rb,4.71849
memory_file.rb,4.00061
memory_impl.rb,4.00481
path_pattern.rb,4.4718
posix.rb,0.0
uniquefile.rb,0.0
windows.rb,0.0
cache.rb,0.0
errors.rb,4.41085
repository.rb,0.0
abs.rb,3.63362
alert.rb,2.34199
all.rb,4.54253
annotate.rb,4.59228
any.rb,4.5136
assert_type.rb,3.97909
binary_file.rb,3.08048
break.rb,3.4667
call.rb,4.12378
camelcase.rb,4.12713
